Molecular Weight (g/mol),Density (g/cm3),C in comononmer A,C in comononmer B,%B,CH in A,CH in A+B,CH2 in A,CH2 in A+B,CH3 in A+B,CH bonds A+B,N in A+B,O in A+B,C=O,%C=O,Rings,%C in rings,Tm(°C),Tg (°C),Crystallinity%,"Critical thickness of the specimen (Lcrit, mm)",Surface area (mm2),Specific surface area (mm2/mm3),Pretrement,Level,Temperature,Humidity,pH,k Biodegradation rate (s^-1) first-order,T Lag time (days),A%,Testing duration (days)
100000,1.26,22,6,20,4,9,12,13,0,35,0,13,4,9.756097561,2,39.29,115,-28,10,0.12,45072,16.69333333,0 Dark,1,25,1,7.9,2.36764E-09,0,93.19,90
100000,1.26,22,6,20,4,9,12,13,0,35,0,13,4,9.756097561,2,39.29,115,-28,10,0.12,45072,16.69333333,2 Outdoor,1,25,1,7.9,6.36488E-09,0,93.19,90
140000,1.29,2,0,0,1,1,1,1,0,3,0,1,0,0,0,0,184.09,48,13,0.12,204.8,17.06666667,1 Indoor,0,37,1,7.4,4.9699E-07,0,93.19,14
144000,1.29,2,6,50,1,6,1,2,0,10,0,6,0,0,1,62.5,187,49,14.47,0.12,3219.2,16.76666667,1 Indoor,7,37,1,6.8,0.000088206,0,45.89,4.166666667
540000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,180,6,88.58,0.385,0.465662571,15.58441558,1 Indoor,4,37,1,6.8,0.000010429,0.01856,97.81,4.75
540000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,180,6,88.58,0.1,183.8,20.42222222,1 Indoor,4,37,1,6.8,2.82174E-08,0,97.52,70
540000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,180,6,88.58,0.1,183.8,20.42222222,1 Indoor,5,37,1,6.8,4.44758E-08,0,97.52,70
540000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,180,6,88.58,0.1,989.6,20.16,1 Indoor,5,37,1,6.8,6.3322E-06,2.238,100,11
540000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,180,6,88.58,0.1,989.6,20.16,1 Indoor,5,37,1,6.8,0.00000592,N.A.,100,9
540000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,180,6,88.58,0.1,989.6,20.16,1 Indoor,6,35,1,6.8,4.3553E-07,4.151,35,77
540000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,180,6,88.58,0.1,989.6,20.16,1 Indoor,6,37,1,6.8,0.000016528,0.7164,95.73,7.1125
397000,1.25,4,5,11.6,1,2,1,3,2,14,0,4,2,15.38461538,0,0,180,4,50,0.1,183.8,20.42222222,1 Indoor,4,37,1,6.8,2.42031E-08,0,99.14,70
397000,1.25,4,5,11.6,1,2,1,3,2,14,0,4,2,15.38461538,0,0,180,4,50,0.1,183.8,20.42222222,1 Indoor,5,37,1,6.8,4.25618E-08,0,99.14,70
397000,1.25,4,5,11.6,1,2,1,3,2,14,0,4,2,15.38461538,0,0,180,4,50,0.1,989.6,20.16,1 Indoor,5,37,1,6.8,1.3287E-07,0,84.29,42
397000,1.25,4,5,11.6,1,2,1,3,2,14,0,4,2,15.38461538,0,0,180,4,50,0.1,989.6,20.16,1 Indoor,5,37,1,6.8,1.1952E-06,0,99.14,9
397000,1.25,4,5,11.6,1,2,1,3,2,14,0,4,2,15.38461538,0,0,180,4,50,0.1,989.6,20.16,1 Indoor,6,35,1,6.8,2.7361E-08,7.875,99.14,77
50000,1.145,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,60,-60,55,0.1,183.8,20.42222222,1 Indoor,4,37,1,6.8,6.2328E-09,0,86.5,70
50000,1.145,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,60,-60,55,0.1,183.8,20.42222222,1 Indoor,5,37,1,6.8,1.52056E-08,0,86.5,70
50000,1.145,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,60,-60,55,0.1,989.6,20.16,1 Indoor,5,37,1,6.8,5.47716E-07,0,86.5,9
50000,1.145,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,60,-60,55,0.1,989.6,20.16,1 Indoor,5,37,1,6.8,9.412E-07,0,16.39,42
540000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,180,6,88.58,0.1,989.6,20.16,1 Indoor,6,37,1,5.8,0.000007,1.105,29,6.816666667
65000,1.1438,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,62.1,-60,52.01,1.6,1110.4,1.45,1 Indoor,0,37,1,7,1.7674E-06,1.434,8.717,35
